gene,r mean,r variance,pval mean,pval variance,portion
Pitx3,0.4346064504896638,0.0,1.5106157713574847e-6,4.932570594423356e-44,0.0011
Fgd1,-0.4268114290011879,0.0,2.4271325152281283e-6,1.9567222192753808e-43,0.0012
Nrgn,0.4478325872963452,3.3616231756577205e-33,6.573597273828698e-7,4.891805548188452e-44,0.0012
Dact2,0.45508352357524734,1.3446492702630882e-32,4.1034166487755515e-7,3.0573784676177825e-45,0.0012
Cacng3,0.4315159461876827,3.3616231756577205e-33,1.825645962519075e-6,4.891805548188452e-44,0.0012
Rcbtb1,-0.43309648674199147,3.318525442636468e-33,1.657476217696134e-6,4.829090092442446e-44,0.0014
Ldlrad4,0.42964383328407035,3.318525442636468e-33,2.0457619453969733e-6,1.9316360369769785e-43,0.0014
Nyap2,0.43609381355974103,6.445916909894305e-5,1.5372078394644608e-6,5.613936408572514e-13,0.0016
Cnksr2,0.4328266922473429,4.39308010285117e-5,1.8060660176882583e-6,4.4518292817064847e-13,0.0016
Rtn4,0.4296371991740725,9.13196415847334e-6,2.0770117817870732e-6,1.3659907658339216e-13,0.0018
Amy1,-0.4434179702172768,5.2695892079993374e-5,9.530022887034961e-7,1.5201707805665506e-13,0.0023
Mras,0.43014193680946267,3.115021480499959e-7,1.985892701190344e-6,4.435140896456207e-15,0.0026
Slc8a2,0.4380615279929696,8.3036641363361e-5,1.4111339969997695e-6,6.029836211125642e-13,0.0028
Nol4,0.4293600019773504,1.0811445003173415e-5,2.1181978276063813e-6,1.6003796582280106e-13,0.0031
Septin7,0.4268588861733914,5.896987171777823e-8,2.4204576250633024e-6,1.2374054205913262e-15,0.0033
Gsg1l,0.43932102027879855,0.00021179955820112566,1.4974981575534408e-6,7.065330099492003e-13,0.0035
Sptbn2,0.43435516969525045,2.1952017205482613e-5,1.5940635840648725e-6,2.1232535638510144e-13,0.0035
Ltbp3,-0.4445148645037083,0.0001982279431857213,1.105048006098187e-6,6.073621622660546e-13,0.0037
Ppfia4,-0.43508792165962556,7.885689092623289e-5,1.6467710729394349e-6,4.646728872190837e-13,0.0039
Sv2b,0.44371486817450073,8.043580341507836e-5,1.0008423213484004e-6,3.872091533144942e-13,0.0039
Hpcal4,0.43140435379848374,1.0072509258079474e-5,1.870558635718183e-6,1.3519053893535747e-13,0.0042
Rasgrf1,-0.4511329543863122,7.986885982599362e-5,6.325335987984924e-7,1.8305277495200929e-13,0.0049
Etv5,0.4474910216120433,0.0008817257663442442,1.3346524438399455e-6,6.353927400936821e-13,0.0051
Septin11,0.44355644116308324,9.103851608824989e-5,1.0048585619343176e-6,2.6489356395191203e-13,0.0057
Nlk,0.44173007303840384,0.00013268066666964075,1.2091987497439575e-6,6.086907944478952e-13,0.0058
St6gal2,0.43901954881613486,0.0001678641908025097,1.4653760867920146e-6,6.992726733995558e-13,0.0065
Abhd2,0.44535186198320864,0.0001956661227523594,1.0462410162158892e-6,5.541471253876082e-13,0.0067
Stx1a,0.44368083704061045,0.0003440145337378995,1.2995333604228133e-6,7.662194195007723e-13,0.0072
Rimbp2,0.43786618717493603,7.731438487664208e-5,1.4025482065149775e-6,4.48311966141826e-13,0.0074
Coro1a,0.4467445807153559,0.0005608856007728802,1.271900379852916e-6,8.827849249061291e-13,0.0083
Erc2,0.4325001060364473,3.3749384800012395e-5,1.8142586049668607e-6,3.130631223725454e-13,0.0093
Snca,0.44026161342321507,9.596402422607165e-5,1.238756566435905e-6,4.1364248825636444e-13,0.0109
Cap2,0.44207518510045957,0.0001441541541510038,1.18772376225261e-6,4.98598712856246e-13,0.0119
Selenow,0.44265235697118094,0.00020877759123966302,1.2684958518690188e-6,8.042102266634609e-13,0.013
Camk2n1,0.43801847216387874,0.00010014192480740602,1.4055957167371508e-6,3.4451068978234505e-13,0.0144
Cracd,-0.44685905541830695,0.00021847654370578891,9.823081529377322e-7,5.315841294878202e-13,0.0145
Lix1,0.44071841034043174,0.00010311712724680921,1.2017015500982645e-6,3.0038750366448e-13,0.0195
Septin5,0.44169811052677793,0.00011503685605756541,1.1744784867695845e-6,4.4508684783949307e-13,0.0222
Arpp19,0.4414415425639234,0.00016189687050937354,1.2357567836937089e-6,4.441251095332915e-13,0.0235
Slc39a10,0.44136125085503486,0.00024246194510540675,1.3015587650522467e-6,4.4307948767153544e-13,0.0254
Lmo4,0.4450753436532874,0.00024713699904962554,1.1064511204192752e-6,5.389334450401164e-13,0.0347
